"source_symbol","target_symbol","source_id","target_id","Interactiontype","type","Source","Interationtype_processed"
"MIRLET7B","HIF1A","1688","4373;4108;3720","inhibition","DATABASE","DATABASE","inhibition"
"MIRLET7B","POLR3G","1688","4085","inhibition","DATABASE","DATABASE","inhibition"
"MIRLET7B","MYC","1688","3426;322","inhibition;interaction","DATABASE","DATABASE","inhibition"
"NR3C1","SPP1","1458","4547","interaction","DATABASE","DATABASE","interaction"
"NR3C1","NR3C1","1458","1458","interaction","DATABASE","DATABASE","interaction"
"TWIST1","FOXM1","1417","5217","interaction","DATABASE","DATABASE","interaction"
"TWIST1","BMI1","1417","5139","interaction","DATABASE","DATABASE","interaction"
"TWIST1","TP53","1417","4629;3119;2071;1931","interaction","DATABASE","DATABASE","interaction"
"TWIST1","MMP1","1417","3551;280","stimulation","BRIDGED:CATALYSIS+TRANSLATION","Literature","stimulation"
"TWIST1","CDH2","1417","2269","interaction","DATABASE","DATABASE","interaction"
"TWIST1","CDH1","1417","225","inhibition","BRIDGED:INHIBITION+TRANSLATION","Literature","inhibition"
"MIR181A1","TAF2","1402","4168","inhibition","DATABASE","DATABASE","inhibition"
"MIR181A1","TWIST1","1402","1417","inhibition","DATABASE","DATABASE","inhibition"
"USF1","SPP1","902","4547","interaction","DATABASE","DATABASE","interaction"
"USF1","MYC","902","3426;322","interaction","DATABASE","DATABASE","interaction"
"NFKB1","MIR146A","690;178","5000","interaction","DATABASE","DATABASE","interaction"
"NFKB1","TP53","690;178","4629;3119;2071;1931","interaction","DATABASE","DATABASE","interaction"
"NFKB1","SPP1","690;178","4547","interaction","DATABASE","DATABASE","interaction"
"NFKB1","MMP1","690;178","3551;280","interaction","DATABASE","DATABASE","interaction"
"NFKB1","FOXD3","690;178","2008","interaction","DATABASE","DATABASE","interaction"
"NFKB1","NR3C1","690;178","1458","interaction","DATABASE","DATABASE","interaction"
"NFKB1","NFKB1","690;178","690;178","interaction","DATABASE","DATABASE","interaction"
