"source_symbol","target_symbol","source_id","target_id","Interactiontype","type","Source","Interationtype_processed"
"MIR34A","PTEN","1690","5236;4058;3930;3434","inhibition","DATABASE","DATABASE","inhibition"
"MIR34A","NOTCH1","1690","4330","inhibition","DATABASE","DATABASE","inhibition"
"MIR34A","ITGB3","1690","3874","inhibition","DATABASE","DATABASE","inhibition"
"MIRLET7B","HRAS","1688","5558;4172;384;366","inhibition","DATABASE","DATABASE","inhibition"
"MIRLET7B","TIAM1","1688","5282;3888","inhibition","DATABASE","DATABASE","inhibition"
"MIRLET7B","CSNK2A1","1688","4125","inhibition","DATABASE","DATABASE","inhibition"
"MIRLET7B","NUP153","1688","2903","inhibition","DATABASE","DATABASE","inhibition"
"MIRLET7B","RBPJ","1688","1256","inhibition","DATABASE","DATABASE","inhibition"
"MIR193B","SFPQ","1511","5443","inhibition","DATABASE","DATABASE","inhibition"
"MIR193B","PTEN","1511","5236;4058;3930;3434","inhibition","DATABASE","DATABASE","inhibition"
"MIR193B","RBPJ","1511","1256","inhibition","DATABASE","DATABASE","inhibition"
"MIR193B","NONO","1511","657","inhibition","DATABASE","DATABASE","inhibition"
"MIR181A1","HRAS","1402","5558;4172;384;366","inhibition","DATABASE","DATABASE","inhibition"
"MIR181A1","PTEN","1402","5236;4058;3930;3434","inhibition","INHIBITION","Literature","inhibition"
"MIR181A1","NOTCH1","1402","4330","inhibition","DATABASE","DATABASE","inhibition"
"MIR181A1","TAF2","1402","4168","inhibition","DATABASE","DATABASE","inhibition"
"MIR181A1","EPS15","1402","2245","inhibition","DATABASE","DATABASE","inhibition"
"MIR200B","PTEN","1296","5236;4058;3930;3434","inhibition","INHIBITION","Literature","inhibition"
"MIR200B","NOTCH1","1296","4330","inhibition","DATABASE","DATABASE","inhibition"
"MIR200B","PDPK1","1296","879","inhibition","DATABASE","DATABASE","inhibition"
"RBPJ","PTEN","1256","5236;4058;3930;3434","interaction","DATABASE","DATABASE","interaction"
"MIR21","TIAM1","1217","5282;3888","inhibition","DATABASE","DATABASE","inhibition"
"MIR21","PTEN","1217","5236;4058;3930;3434","inhibition","DATABASE;INHIBITION","Literature","inhibition"
"PDPK1","PRKCQ","879","1831;416","stimulation","CATALYSIS","Literature","stimulation"
"ICMT","HRAS","831","5558;4172;384;366","stimulation","CATALYSIS","Literature","stimulation"
"MIR221","TIAM1","671","5282;3888","inhibition","DATABASE","DATABASE","inhibition"
"MIR221","PTEN","671","5236;4058;3930;3434","inhibition","DATABASE","DATABASE","inhibition"
"NONO","RPS15A","657","3345","interaction","DATABASE","DATABASE","interaction"
"NONO","RPS15","657","2416","interaction","DATABASE","DATABASE","interaction"
"MIRLET7A1","ITGB3","516","3874","inhibition","INHIBITION","Literature","inhibition"
"MIR30D","FZD6","473","5743","inhibition","DATABASE","DATABASE","inhibition"
"MIR30D","NOTCH1","473","4330","inhibition","DATABASE","DATABASE","inhibition"
"MIR155","PTEN","430","5236;4058;3930;3434","inhibition","DATABASE","DATABASE","inhibition"
"MIR155","RBPJ","430","1256","inhibition","DATABASE","DATABASE","inhibition"
"SP3","TP53","283","4629;3119;2071;1931","interaction","DATABASE","DATABASE","interaction"
"SP3","ITGB3","283","3874","interaction","DATABASE","DATABASE","interaction"
"SP3","SP1","283","2643","interaction","DATABASE","DATABASE","interaction"
"SP3","SP3","283","283","interaction","DATABASE","DATABASE","interaction"
