Reactome_ID;Description;Cluster_glay;Indegree;category_SignalTransduction;category_Metabolism;category_ImmuneSystem;category_Metabolismofproteins;category_Geneexpression(Transcription);category_DevelopmentalBiology;category_Disease;category_Vesicle-mediatedtransport;category_Transportofsmallmolecules;category_MetabolismofRNA;category_Hemostasis;category_CellCycle;category_Cellularresponsestoexternalstimuli;category_NeuronalSystem;category_Extracellularmatrixorganization;category_DNARepair;category_Organellebiogenesisandmaintenance;category_Chromatinorganization;category_Musclecontraction;category_ProgrammedCellDeath;category_DNAReplication;category_Cell-Cellcommunication;category_Reproduction;category_CircadianClock;category_Mitophagy;category_Digestionandabsorption
R-HSA-392499;Metabolism of proteins;10;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
R-HSA-397014;Muscle contraction;43;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
R-HSA-400253;Circadian Clock;51;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
R-HSA-4839726;Chromatin organization;47;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
R-HSA-5205647;Mitophagy;45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
R-HSA-5357801;Programmed Cell Death;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
R-HSA-5653656;Vesicle-mediated transport;5;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
R-HSA-69306;DNA Replication;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
R-HSA-73894;DNA Repair;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
R-HSA-74160;Gene expression (Transcription);26;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
R-HSA-8953854;Metabolism of RNA;7;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
R-HSA-8953897;Cellular responses to external stimuli;20;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
R-HSA-8963743;Digestion and absorption;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
R-HSA-1059683;Interleukin-6 signaling;6;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
R-HSA-109581;Apoptosis;29;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
R-HSA-109606;Intrinsic Pathway for Apoptosis;55;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
R-HSA-109688;Cleavage of Growing Transcript in the Termination Region;26;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
R-HSA-109703;PKB-mediated events;14;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
R-HSA-109704;PI3K Cascade;14;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
R-HSA-110056;MAPK3 (ERK1) activation;21;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
R-HSA-110312;Translesion synthesis by REV1;30;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
R-HSA-110313;Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template;30;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
R-HSA-110314;Recognition of DNA damage by PCNA-containing replication complex;30;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
R-HSA-110320;Translesion Synthesis by POLH;30;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
R-HSA-110328;Recognition and association of DNA glycosylase with site containing an affected pyrimidine;30;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
R-HSA-110329;Cleavage of the damaged pyrimidine;30;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
R-HSA-110330;Recognition and association of DNA glycosylase with site containing an affected purine;30;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
R-HSA-110331;Cleavage of the damaged purine;30;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
R-HSA-110357;Displacement of DNA glycosylase by APEX1;30;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
R-HSA-110362;POLB-Dependent Long Patch Base Excision Repair;30;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
R-HSA-110373;Resolution of AP sites via the multiple-nucleotide patch replacement pathway;30;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
R-HSA-110381;Resolution of AP sites via the single-nucleotide replacement pathway;30;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
R-HSA-111367;SLBP independent Processing of Histone Pre-mRNAs;7;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
R-HSA-111446;Activation of BIM and translocation to mitochondria;55;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
R-HSA-111447;Activation of BAD and translocation to mitochondria;55;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
R-HSA-111448;Activation of NOXA and translocation to mitochondria;55;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
R-HSA-111452;Activation and oligomerization of BAK protein;55;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
R-HSA-111453;BH3-only proteins associate with and inactivate anti-apoptotic BCL-2 members;55;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
R-HSA-111457;Release of apoptotic factors from the mitochondria;55;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
R-HSA-111458;Formation of apoptosome;55;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
R-HSA-111459;Activation of caspases through apoptosome-mediated cleavage;55;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
R-HSA-111461;Cytochrome c-mediated apoptotic response;55;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
R-HSA-111463;SMAC binds to IAPs;55;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
R-HSA-111464;SMAC-mediated dissociation of IAP:caspase complexes;55;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
R-HSA-111465;Apoptotic cleavage of cellular proteins;29;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
R-HSA-111469;SMAC-mediated apoptotic response;55;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
R-HSA-111471;Apoptotic factor-mediated response;55;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
R-HSA-111885;Opioid Signalling;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
R-HSA-111931;PKA-mediated phosphorylation of CREB;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
R-HSA-111932;CaMK IV-mediated phosphorylation of CREB;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
R-HSA-111933;Calmodulin induced events;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
R-HSA-111957;Cam-PDE 1 activation;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
R-HSA-111995;phospho-PLA2 pathway;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
R-HSA-111996;Ca-dependent events;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
R-HSA-112040;G-protein mediated events;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
R-HSA-112043;PLC beta mediated events;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
R-HSA-112122;ALKBH2 mediated reversal of alkylation damage;30;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
R-HSA-112126;ALKBH3 mediated reversal of alkylation damage;30;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
R-HSA-112303;Electric Transmission Across Gap Junctions;22;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
R-HSA-112307;Transmission across Electrical Synapses;22;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
R-HSA-112308;Presynaptic depolarization and calcium channel opening;22;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
R-HSA-112310;Neurotransmitter release cycle;22;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
R-HSA-112311;Neurotransmitter clearance;22;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
R-HSA-112313;Neurotransmitter uptake and metabolism In glial cells;22;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
R-HSA-112314;Neurotransmitter receptors and postsynaptic signal transmission;37;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
R-HSA-112315;Transmission across Chemical Synapses;22;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
R-HSA-112382;Formation of RNA Pol II elongation complex;26;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
R-HSA-112409;RAF-independent MAPK1/3 activation;21;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
R-HSA-112411;MAPK1 (ERK2) activation;21;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
R-HSA-112412;SOS-mediated signalling;14;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
R-HSA-113418;Formation of the Early Elongation Complex;26;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
R-HSA-113501;Inhibition of replication initiation of damaged DNA by RB1/E2F1;28;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
R-HSA-113507;E2F-enabled inhibition of pre-replication complex formation;28;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
R-HSA-113510;E2F mediated regulation of DNA replication;28;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
R-HSA-114294;Activation, translocation and oligomerization of BAX;55;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
R-HSA-114452;Activation of BH3-only proteins;55;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
R-HSA-114516;Disinhibition of SNARE formation;21;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
R-HSA-114604;GPVI-mediated activation cascade;21;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
R-HSA-114608;Platelet degranulation;21;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
R-HSA-1168372;Downstream signaling events of B Cell Receptor (BCR);3;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
R-HSA-1169091;Activation of NF-kappaB in B cells;3;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
R-HSA-1169092;Activation of RAS in B cells;3;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
R-HSA-1169408;ISG15 antiviral mechanism;3;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
R-HSA-1169410;Antiviral mechanism by IFN-stimulated genes;3;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
R-HSA-1170546;Prolactin receptor signaling;3;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
R-HSA-1181150;Signaling by NODAL;33;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
R-HSA-1187000;Fertilization;25;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
R-HSA-1221632;Meiotic synapsis;25;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
R-HSA-1222352;Latent infection of Homo sapiens with Mycobacterium tuberculosis;23;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
R-HSA-1222387;Tolerance of reactive oxygen produced by macrophages;23;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
R-HSA-1222449;Mtb iron assimilation by chelation;23;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
R-HSA-1222499;Response of Mtb to phagocytosis;23;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
R-HSA-1222538;Tolerance by Mtb to nitric oxide produced by macrophages;23;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
R-HSA-1222541;Cell redox homeostasis;23;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
R-HSA-1222556;ROS, RNS production in phagocytes;34;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
R-HSA-1226099;Signaling by FGFR in disease;35;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
R-HSA-1227986;Signaling by ERBB2;14;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
R-HSA-1234158;Regulation of gene expression by Hypoxia-inducible Factor;20;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
R-HSA-1234162;Oxygen-dependent asparagine hydroxylation of Hypoxia-inducible Factor Alpha;20;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
R-HSA-1234174;Regulation of Hypoxia-inducible Factor (HIF) by oxygen;20;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
R-HSA-1234176;Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha;20;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
R-HSA-1236382;Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants;35;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
R-HSA-1236394;Signaling by ERBB4;14;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
R-HSA-1236973;Cross-presentation of particulate exogenous antigens (phagosomes);3;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
R-HSA-1236974;ER-Phagosome pathway;3;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
R-HSA-1236975;Antigen processing-Cross presentation;3;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
R-HSA-1236977;Endosomal/Vacuolar pathway;3;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
R-HSA-1236978;Cross-presentation of soluble exogenous antigens (endosomes);3;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
R-HSA-1237044;Erythrocytes take up carbon dioxide and release oxygen;2;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
R-HSA-1247673;Erythrocytes take up oxygen and release carbon dioxide;2;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
R-HSA-1250196;SHC1 events in ERBB2 signaling;14;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
R-HSA-1250342;PI3K events in ERBB4 signaling;14;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
R-HSA-1250347;SHC1 events in ERBB4 signaling;14;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
R-HSA-1251932;PLCG1 events in ERBB2 signaling;14;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
R-HSA-1251985;Nuclear signaling by ERBB4;14;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
R-HSA-1253288;Downregulation of ERBB4 signaling;14;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
R-HSA-1257604;PIP3 activates AKT signaling;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
R-HSA-1266695;Interleukin-7 signaling;6;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
R-HSA-1268020;Mitochondrial protein import;10;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
R-HSA-1280215;Cytokine Signaling in Immune system;3;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
R-HSA-1280218;Adaptive Immune System;3;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
R-HSA-1296025;ATP sensitive Potassium channels;22;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
R-HSA-1296041;Activation of G protein gated Potassium channels;22;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
R-HSA-1296052;Ca2+ activated K+ channels;22;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
R-HSA-1296053;Classical Kir channels;22;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
R-HSA-1296059;G protein gated Potassium channels;22;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
R-HSA-1296061;HCN channels;22;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
R-HSA-1296065;Inwardly rectifying K+ channels;22;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
R-HSA-1296067;Potassium transport channels;22;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
R-HSA-1296071;Potassium Channels;22;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
R-HSA-1296072;Voltage gated Potassium channels;22;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
R-HSA-1296346;Tandem pore domain potassium channels;22;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
R-HSA-1299287;Tandem pore domain halothane-inhibited K+ channel (THIK);22;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
R-HSA-1299308;Tandem of pore domain in a weak inwardly rectifying K+ channels (TWIK);22;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
R-HSA-1299316;TWIK-releated acid-sensitive K+ channel (TASK);22;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
R-HSA-1299344;TWIK-related spinal cord K+ channel (TRESK);22;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
R-HSA-1299361;TWIK-related alkaline pH activated K+ channel (TALK);22;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
R-HSA-1299503;TWIK related potassium channel (TREK);22;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
R-HSA-1300642;Sperm Motility And Taxes;25;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
