"SUID","annotation","database","id","instance","interaction","Interactiontype","metaid","modifiers","name","PMIDs","polarity","products","r_id","reactants","reldate","release","selected","shared interaction","shared name","shared_interaction","shared_name","source","source_alias","target","target_alias","type"
"103368","pubmed:25841454|pubmed:18172275|pubmed:17332304|pubmed:25841454|pubmed:25841454|pubmed:25376610",,"58821","sa110 -D sa3240","interacts with","interaction","re1510","s8449|s8450|s8661|s8448","MAP2K/MEK1/2|_pho|active (interacts with)  MAP2K/MEK1/2|_pho|active ",,"0.0","s176","re1510","s176",,,"false","interacts with","MAP2K/MEK1/2|_pho|active (interacts with)  MAP2K/MEK1/2|_pho|active ","interacts with","MAP2K/MEK1/2|_pho|active (interacts with)  MAP2K/MEK1/2|_pho|active ","56842",,"55648",,"STATE_TRANSITION"
"103369","pubmed:18314333|pubmed:18314333|pubmed:18314333",,"58820","csa447 -I sa3147","interacts with","inhibition","re1470","s7920|s7908|s7907|s10111|s7899","BIM/MCL-1 (interacts with)   BIM  ",,"-1.0","s7844","re1470","s7844",,,"false","interacts with","BIM/MCL-1 (interacts with)   BIM  ","interacts with","BIM/MCL-1 (interacts with)   BIM  ","56841",,"55940",,"INHIBITION"
"103370","pubmed:18314333",,"58819","csa447 -D sa3164","interacts with","interaction","re1473","","BIM/MCL-1 (interacts with)       BIM      ",,"0.0","s7900|s7844","re1473","s7899|s7871",,,"false","interacts with","BIM/MCL-1 (interacts with)       BIM      ","interacts with","BIM/MCL-1 (interacts with)       BIM      ","56841",,"56789",,"DISSOCIATION"
"103371","pubmed:18314333",,"58818","csa447 -D csa444","interacts with","interaction","re1473","","BIM/MCL-1 (interacts with)  MCL-1/Noxa ",,"0.0","s7900|s7844","re1473","s7899|s7871",,,"false","interacts with","BIM/MCL-1 (interacts with)  MCL-1/Noxa ","interacts with","BIM/MCL-1 (interacts with)  MCL-1/Noxa ","56841",,"55459",,"DISSOCIATION"
"103372","pubmed:15986140|pubmed:17186030|drugbank:DB08865|drugbank:DB08875",,"58817","sa3384 -D csa309","interacts with","interaction","re1027","s7288|s7359","  dreg_c-MET/HGFR   (interacts with) HGF/HGFR/JAK|active",,"0.0","s8940","re1027","s3854|s1888|s10283",,,"false","interacts with","  dreg_c-MET/HGFR   (interacts with) HGF/HGFR/JAK|active","interacts with","  dreg_c-MET/HGFR   (interacts with) HGF/HGFR/JAK|active","56840",,"56104",,"HETERODIMER_ASSOCIATION"
"103373","pubmed:15986140|drugbank:DB08865|drugbank:DB08875",,"58816","sa3384 -D csa311","interacts with","interaction","re1029","s7288|s7359","  dreg_c-MET/HGFR   (interacts with) HGF/HGFR/SRC|active",,"0.0","s8936","re1029","s3853|s1888|s10283",,,"false","interacts with","  dreg_c-MET/HGFR   (interacts with) HGF/HGFR/SRC|active","interacts with","  dreg_c-MET/HGFR   (interacts with) HGF/HGFR/SRC|active","56840",,"56820",,"HETERODIMER_ASSOCIATION"
"103374","pubmed:21478267",,"58815","sa2824 -D sa2825","interacts with","interaction","re1362","s6144","Rnd3 (interacts with)  Rnd3 ",,"0.0","s6227","re1362","s6226",,,"false","interacts with","Rnd3 (interacts with)  Rnd3 ","interacts with","Rnd3 (interacts with)  Rnd3 ","56839",,"56082",,"TRANSCRIPTION"
"103375","pubmed:12095979|pubmed:19401874",,"58814","sa2792 -D sa2793","interacts with","interaction","re1329","Myc_P_nucl"," PAX3  (interacts with)   PAX3  ",,"0.0","s6064","re1329","s6063",,,"false","interacts with"," PAX3  (interacts with)   PAX3  ","interacts with"," PAX3  (interacts with)   PAX3  ","56838",,"56526",,"TRANSCRIPTION"
"103376","pubmed:15986134|pubmed:17384583",,"58813","sa1080 -o sa3325","interacts with","stimulation","re455","s1850|s1844","DAG (interacts with) PKC|_pho|active",,"1.0","s9519","re455","s9519",,,"false","interacts with","DAG (interacts with) PKC|_pho|active","interacts with","DAG (interacts with) PKC|_pho|active","56837",,"55846",,"CATALYSIS"
"103377","pubmed:16341064|pubmed:16493410|pubmed:15986132|pubmed:19754466|drugbank:DB01356",,"58812","sa3087 -o sa2030","interacts with","stimulation","re908","s375|s9047|s7752","Lithium (interacts with) GSK3B|_pho",,"1.0","GSK3B_P","re908","GSK3B",,,"false","interacts with","Lithium (interacts with) GSK3B|_pho","interacts with","Lithium (interacts with) GSK3B|_pho","56836",,"55787",,"CATALYSIS"
"103378","pubmed:24602414",,"58811","sa2970 -D sa2973","interacts with","interaction","re1415","","   CDC42    (interacts with)     CDC42    ",,"0.0","s6869","re1415","s6866",,,"false","interacts with","   CDC42    (interacts with)     CDC42    ","interacts with","   CDC42    (interacts with)     CDC42    ","56835",,"55601",,"TRANSPORT"
"103379","pubmed:19124656",,"58810","sa3429 -D sa2147","interacts with","interaction","re995","","dreg_N-Cadherin (interacts with) Melanoma cell invasion",,"0.0","s3761","re995","s10369",,,"false","interacts with","dreg_N-Cadherin (interacts with) Melanoma cell invasion","interacts with","dreg_N-Cadherin (interacts with) Melanoma cell invasion","56834",,"55930",,"STATE_TRANSITION"
"103380","pubmed:19124656",,"58809","sa3429 -D sa1148","interacts with","interaction","re993","","dreg_N-Cadherin (interacts with) Cell migration",,"0.0","s1950","re993+re1024","s10369",,,"false","interacts with","dreg_N-Cadherin (interacts with) Cell migration","interacts with","dreg_N-Cadherin (interacts with) Cell migration","56834",,"55913",,"STATE_TRANSITION"
"103381","",,"58808","sa1783 -D sa1801","interacts with","interaction","re828","","   TBX2    (interacts with)     TBX2    ",,"0.0","s2965","re828","s2947",,,"false","interacts with","   TBX2    (interacts with)     TBX2    ","interacts with","   TBX2    (interacts with)     TBX2    ","56833",,"56020",,"TRANSPORT"
"103382","pubmed:12209154|pubmed:12209154|pubmed:12209154",,"58807","sa1174 -D sa1175","interacts with","interaction","re581","s2036"," BAX|active  (interacts with) BAX|hm3",,"0.0","s2008","re581","s2005",,,"false","interacts with"," BAX|active  (interacts with) BAX|hm3","interacts with"," BAX|active  (interacts with) BAX|hm3","56832",,"55801",,"STATE_TRANSITION"
"103383","pubmed:25109840|pubmed:15372092|pubmed:23563312|pubmed:25061102|pubmed:23222305",,"58806","csa111 -o sa721","interacts with","stimulation","re400","s6145|s6148|s1233|s1240|s6144|s190","_beta_-Catenin/LEF/TWIST_gene complex (interacts with)  TWIST1 ",,"1.0","s1116","re400","s1091",,,"false","interacts with","_beta_-Catenin/LEF/TWIST_gene complex (interacts with)  TWIST1 ","interacts with","_beta_-Catenin/LEF/TWIST_gene complex (interacts with)  TWIST1 ","56830",,"55967",,"CATALYSIS"
"103384","pubmed:18508457|pubmed:18508457|pubmed:21914141|pubmed:21914141|pubmed:21914141|pubmed:21914141|pubmed:21914141|pubmed:18983537",,"58805","sa1583 -o sa1585","interacts with","stimulation","re728","s2576|s1936|s1943|s2582|s2587|s2601","MEKK3|active (interacts with) p38MAPK|_pho|active",,"1.0","s2581","re728","s2580",,,"false","interacts with","MEKK3|active (interacts with) p38MAPK|_pho|active","interacts with","MEKK3|active (interacts with) p38MAPK|_pho|active","56829",,"56150",,"CATALYSIS"
"103385","pubmed:22270953|pubmed:18089725|drugbank:DB08865|drugbank:DB08875",,"58804","sa3348 -D csa163","interacts with","interaction","re555","s7288|s7359"," dreg_c-MET/HGFR  (interacts with)  HGF/HGFR ",,"0.0","s10228","re555","s1888|s10283",,,"false","interacts with"," dreg_c-MET/HGFR  (interacts with)  HGF/HGFR ","interacts with"," dreg_c-MET/HGFR  (interacts with)  HGF/HGFR ","56828",,"55773",,"HETERODIMER_ASSOCIATION"
"103386","pubmed:22270953|pubmed:18089725|drugbank:DB08865|drugbank:DB08875",,"58803","sa3348 -D csa75","interacts with","interaction","re358","s7288|s7359"," dreg_c-MET/HGFR  (interacts with) HGF/HGFR",,"0.0","s10228","re358","s1888|s10283",,,"false","interacts with"," dreg_c-MET/HGFR  (interacts with) HGF/HGFR","interacts with"," dreg_c-MET/HGFR  (interacts with) HGF/HGFR","56828",,"55513",,"HETERODIMER_ASSOCIATION"
"103387","pubmed:23403721|pubmed:10843728|drugbank:DB08896|drugbank:DB08901|pubmed:21976540",,"58802","sa3249 -I csa342","interacts with","inhibition","re1110","s4372|s7357|s7437|s8522","TKI258 (interacts with) FGF/FGFR/FRS2a/GRB2/GAB1/PI3K|active",,"-1.0","s4481","re1110","s810|s1910|s9081|s4459|s4462|s4471",,,"false","interacts with","TKI258 (interacts with) FGF/FGFR/FRS2a/GRB2/GAB1/PI3K|active","interacts with","TKI258 (interacts with) FGF/FGFR/FRS2a/GRB2/GAB1/PI3K|active","56827",,"55847",,"INHIBITION"
"103388","pubmed:23403721|pubmed:10843728|drugbank:DB08896|drugbank:DB08901|pubmed:21976540",,"58801","sa3249 -I csa341","interacts with","inhibition","re1111","s4372|s7357|s7437|s8522","TKI258 (interacts with) FGF/FGFR/FRS2a/GRB2/SOS|active",,"-1.0","s4474","re1111","s4459|s4462|s55|s4471",,,"false","interacts with","TKI258 (interacts with) FGF/FGFR/FRS2a/GRB2/SOS|active","interacts with","TKI258 (interacts with) FGF/FGFR/FRS2a/GRB2/SOS|active","56827",,"56224",,"INHIBITION"
"103389","",,"58800","sa2359 -D sa2360","interacts with","interaction","re1079",""," bFGF  (interacts with)   bFGF  ",,"0.0","s4370","re1079","s4369",,,"false","interacts with"," bFGF  (interacts with)   bFGF  ","interacts with"," bFGF  (interacts with)   bFGF  ","56826",,"56242",,"TRANSPORT"
"103390","pubmed:17377525|pubmed:17377525|pubmed:17377525|pubmed:12042762|pubmed:12042762|pubmed:18545270|pubmed:18545270",,"58799","sa1552 -o sa1243","interacts with","stimulation","re601","s2064|s2055|s2094|s2094","  Caspase 8|active   (interacts with) Caspase-3|hm2|active",,"1.0","s2060","re601","s2057",,,"false","interacts with","  Caspase 8|active   (interacts with) Caspase-3|hm2|active","interacts with","  Caspase 8|active   (interacts with) Caspase-3|hm2|active","56825",,"55474",,"CATALYSIS"
"103391","pubmed:12207176|pubmed:12207176|pubmed:12207176|pubmed:18545270|pubmed:18545270|pubmed:18314333",,"58798","sa1552 -o sa1206","interacts with","stimulation","re625","s2094|s2095|s2094|s2094|s9276|s7916|s7918|s7915|s10115","  Caspase 8|active   (interacts with) tBid|active",,"1.0","s2036","re625","s2096",,,"false","interacts with","  Caspase 8|active   (interacts with) tBid|active","interacts with","  Caspase 8|active   (interacts with) tBid|active","56825",,"56320",,"CATALYSIS"
"103392","pubmed:18541156|pubmed:21787760|pubmed:24202393|pubmed:24202393|pubmed:17384584|pubmed:17993263|pubmed:19283671|pubmed:15229476|pubmed:17898809|pubmed:10856235|pubmed:18066592|pubmed:16647948|pubmed:16912270|pubmed:17404109|pubmed:11585772|pubmed:23403721|pubmed:10620816",,"58797","csa261 -o sa26","interacts with","stimulation","re18","s166|s793|s8999|s9075|s10239|s8967|s2358|s10305|s4474|s9059"," SCF/KIT/GRB2/SOS/SHC  (interacts with) RAS|active",,"1.0","s23|s38","re18","s22|s37",,,"false","interacts with"," SCF/KIT/GRB2/SOS/SHC  (interacts with) RAS|active","interacts with"," SCF/KIT/GRB2/SOS/SHC  (interacts with) RAS|active","56824",,"55867",,"CATALYSIS"
"103393","pubmed:18541156|pubmed:21787760|pubmed:24202393|pubmed:24202393|pubmed:17384584|pubmed:17993263|pubmed:19283671|pubmed:15229476|pubmed:17898809|pubmed:10856235|pubmed:18066592|pubmed:16647948|pubmed:16912270|pubmed:17404109|pubmed:11585772|pubmed:23403721|pubmed:10620816",,"58796","csa261 -o sa28","interacts with","stimulation","re18","s166|s793|s8999|s9075|s10239|s8967|s2358|s10305|s4474|s9059"," SCF/KIT/GRB2/SOS/SHC  (interacts with) GDP",,"1.0","s23|s38","re18","s22|s37",,,"false","interacts with"," SCF/KIT/GRB2/SOS/SHC  (interacts with) GDP","interacts with"," SCF/KIT/GRB2/SOS/SHC  (interacts with) GDP","56824",,"56460",,"CATALYSIS"
"103394","drugbank:DB04960|clinicaltrials:NCT00060125",,"58795","sa3233 -I csa455","interacts with","inhibition","re1509","s8446","Tipifarnib  (interacts with) Farnesyltransferase",,"-1.0","s8364","re1509","s8364",,,"false","interacts with","Tipifarnib  (interacts with) Farnesyltransferase","interacts with","Tipifarnib  (interacts with) Farnesyltransferase","56823",,"56058",,"INHIBITION"
"103395","pubmed:24602414",,"58794","sa2972 -D sa2975","interacts with","interaction","re1417","s2931","  EZH2   (interacts with)    EZH2   ",,"0.0","s6870","re1417","s6868",,,"false","interacts with","  EZH2   (interacts with)    EZH2   ","interacts with","  EZH2   (interacts with)    EZH2   ","56822",,"56129",,"TRANSLATION"
"103396","pubmed:18235236",,"58793","sa2431 -D sa2432","interacts with","interaction","re1129","s1850|s7923","Calcineurin (interacts with) Calcineurin|active",,"0.0","s4567","re1129","s4567",,,"false","interacts with","Calcineurin (interacts with) Calcineurin|active","interacts with","Calcineurin (interacts with) Calcineurin|active","56821",,"55489",,"STATE_TRANSITION"
"103397","pubmed:14668806|pubmed:14668806|pubmed:15986140|pubmed:17186030",,"58792","csa311 -o sa2192","interacts with","stimulation","re1033","s8936|s8940|s3905|s4098|s4110|s8944|s8948","HGF/HGFR/SRC|active (interacts with) STAT|_pho",,"1.0","s3901","re1033","s3903",,,"false","interacts with","HGF/HGFR/SRC|active (interacts with) STAT|_pho","interacts with","HGF/HGFR/SRC|active (interacts with) STAT|_pho","56820",,"56536",,"CATALYSIS"
"103398","pubmed:18541156|pubmed:21787760|pubmed:24202393|pubmed:24202393|pubmed:17384584|pubmed:17993263|pubmed:19283671|pubmed:15229476|pubmed:17898809|pubmed:10856235|pubmed:18066592|pubmed:16647948|pubmed:16912270|pubmed:17404109|pubmed:11585772|pubmed:23403721|pubmed:10620816",,"58791","csa17 -o sa26","interacts with","stimulation","re18","s166|s793|s8999|s9075|s10239|s8967|s2358|s10305|s4474|s9059","EGF/EGFR/GRB2/SOS/SHC (interacts with) RAS|active",,"1.0","s23|s38","re18","s22|s37",,,"false","interacts with","EGF/EGFR/GRB2/SOS/SHC (interacts with) RAS|active","interacts with","EGF/EGFR/GRB2/SOS/SHC (interacts with) RAS|active","56819",,"55867",,"CATALYSIS"
"103399","pubmed:18541156|pubmed:21787760|pubmed:24202393|pubmed:24202393|pubmed:17384584|pubmed:17993263|pubmed:19283671|pubmed:15229476|pubmed:17898809|pubmed:10856235|pubmed:18066592|pubmed:16647948|pubmed:16912270|pubmed:17404109|pubmed:11585772|pubmed:23403721|pubmed:10620816",,"58790","csa17 -o sa28","interacts with","stimulation","re18","s166|s793|s8999|s9075|s10239|s8967|s2358|s10305|s4474|s9059","EGF/EGFR/GRB2/SOS/SHC (interacts with) GDP",,"1.0","s23|s38","re18","s22|s37",,,"false","interacts with","EGF/EGFR/GRB2/SOS/SHC (interacts with) GDP","interacts with","EGF/EGFR/GRB2/SOS/SHC (interacts with) GDP","56819",,"56460",,"CATALYSIS"
"103400","",,"58789","sa1816 -D sa1836","interacts with","interaction","re844","","PDCD4 (interacts with)  PDCD4 ",,"0.0","s3057","re844","s3040",,,"false","interacts with","PDCD4 (interacts with)  PDCD4 ","interacts with","PDCD4 (interacts with)  PDCD4 ","56818",,"56094",,"TRANSCRIPTION"
"103401","pubmed:23486281",,"58788","sa481 -D sa482","interacts with","interaction","re274","s694","HNRNPK (interacts with) HNRNPK|_pho|active",,"0.0","s698","re274","s696",,,"false","interacts with","HNRNPK (interacts with) HNRNPK|_pho|active","interacts with","HNRNPK (interacts with) HNRNPK|_pho|active","56816",,"56218",,"STATE_TRANSITION"
"103402","pubmed:23742843",,"58787","csa65 -D csa64","interacts with","interaction","re220","","  mdm2/mdmx/p53 complex   (interacts with)   mdm2/mdmx complex  ",,"0.0","s502|s1410","re220","s996",,,"false","interacts with","  mdm2/mdmx/p53 complex   (interacts with)   mdm2/mdmx complex  ","interacts with","  mdm2/mdmx/p53 complex   (interacts with)   mdm2/mdmx complex  ","56815",,"55719",,"DISSOCIATION"
"103403","pubmed:23742843",,"58786","csa65 -D sa428","interacts with","interaction","re220","","  mdm2/mdmx/p53 complex   (interacts with)   p53|_ubi  ",,"0.0","s502|s1410","re220","s996",,,"false","interacts with","  mdm2/mdmx/p53 complex   (interacts with)   p53|_ubi  ","interacts with","  mdm2/mdmx/p53 complex   (interacts with)   p53|_ubi  ","56815",,"56585",,"DISSOCIATION"
"103404","pubmed:19401874",,"58785","sa2776 -D sa2778","interacts with","interaction","re1317","s5843","NCAM1 (interacts with)  NCAM1 ",,"0.0","s6049","re1317","s6047",,,"false","interacts with","NCAM1 (interacts with)  NCAM1 ","interacts with","NCAM1 (interacts with)  NCAM1 ","56814",,"55567",,"TRANSCRIPTION"
"103405","pubmed:15371522|pubmed:12949498",,"58784","sa1602 -o sa1604","interacts with","stimulation","re734","s2604","MEKK1|_pho|active (interacts with) MKK7|_pho|active",,"1.0","s2606","re734","s2605",,,"false","interacts with","MEKK1|_pho|active (interacts with) MKK7|_pho|active","interacts with","MEKK1|_pho|active (interacts with) MKK7|_pho|active","56813",,"55873",,"CATALYSIS"
"103406","pubmed:15371522|pubmed:12949498",,"58783","sa1602 -o sa1606","interacts with","stimulation","re735","s2604","MEKK1|_pho|active (interacts with) MKK4|_pho|active",,"1.0","s2608","re735","s2607",,,"false","interacts with","MEKK1|_pho|active (interacts with) MKK4|_pho|active","interacts with","MEKK1|_pho|active (interacts with) MKK4|_pho|active","56813",,"56109",,"CATALYSIS"
"103407","pubmed:20211725|pubmed:23403721|pubmed:19509053",,"58782","sa2421 -D sa1148","interacts with","interaction","re1122",""," MARCKS|_pho  (interacts with) Cell migration",,"0.0","s1950","re1122","s4557",,,"false","interacts with"," MARCKS|_pho  (interacts with) Cell migration","interacts with"," MARCKS|_pho  (interacts with) Cell migration","56812",,"55913",,"STATE_TRANSITION"
"103408","pubmed:12789291",,"58781","sa1733 -D sa1000","interacts with","stimulation","re789",""," TRAF1  (interacts with) Inhibition of Apoptosis",,"1.0","s1680","re789","s2835",,,"false","interacts with"," TRAF1  (interacts with) Inhibition of Apoptosis","interacts with"," TRAF1  (interacts with) Inhibition of Apoptosis","56811",,"55525",,"PHYSICAL_STIMULATION"
"103409","pubmed:12209154|pubmed:12209154",,"58780","sa1247 -D sa1248","interacts with","interaction","re606","s2010","Bak membrane pore (interacts with) Bak membrane pore|active",,"0.0","s2063","re606","s2063",,,"false","interacts with","Bak membrane pore (interacts with) Bak membrane pore|active","interacts with","Bak membrane pore (interacts with) Bak membrane pore|active","56810",,"56232",,"STATE_TRANSITION"
"103410","pubmed:18426405|pubmed:15986136|pubmed:20822955",,"58779","csa350 -D csa364","interacts with","interaction","re1226","s10345|s5343","Smad2/Smad4|active (interacts with)  Smad2/Smad4|active ",,"0.0","s5199","re1226","s4910",,,"false","interacts with","Smad2/Smad4|active (interacts with)  Smad2/Smad4|active ","interacts with","Smad2/Smad4|active (interacts with)  Smad2/Smad4|active ","56809",,"55891",,"TRANSPORT"
"103411","pubmed:18541156|pubmed:21787760|pubmed:24202393|pubmed:24202393|pubmed:17384584|pubmed:17993263|pubmed:19283671|pubmed:15229476|pubmed:17898809|pubmed:10856235|pubmed:18066592|pubmed:16647948|pubmed:16912270|pubmed:17404109|pubmed:11585772|pubmed:23403721|pubmed:10620816",,"58778","sa27 -D sa26","interacts with","interaction","re18","s166|s793|s8999|s9075|s10239|s8967|s2358|s10305|s4474|s9059","GTP (interacts with) RAS|active",,"0.0","s23|s38","re18","s22|s37",,,"false","interacts with","GTP (interacts with) RAS|active","interacts with","GTP (interacts with) RAS|active","56808",,"55867",,"STATE_TRANSITION"
"103412","pubmed:18541156|pubmed:21787760|pubmed:24202393|pubmed:24202393|pubmed:17384584|pubmed:17993263|pubmed:19283671|pubmed:15229476|pubmed:17898809|pubmed:10856235|pubmed:18066592|pubmed:16647948|pubmed:16912270|pubmed:17404109|pubmed:11585772|pubmed:23403721|pubmed:10620816",,"58777","sa27 -D sa28","interacts with","interaction","re18","s166|s793|s8999|s9075|s10239|s8967|s2358|s10305|s4474|s9059","GTP (interacts with) GDP",,"0.0","s23|s38","re18","s22|s37",,,"false","interacts with","GTP (interacts with) GDP","interacts with","GTP (interacts with) GDP","56808",,"56460",,"STATE_TRANSITION"
"103413","pubmed:18983537|pubmed:18983537|pubmed:15459662|pubmed:10620816|drugbank:DB00054|pubmed:17018625",,"58776","sa3044 -I csa397","interacts with","inhibition","re1373","s7578|s8662","Abciximab (interacts with) Vitronectin/Integrin aV/_beta_3/SRC/SHC|active",,"-1.0","s6272","re1373","s2593|s2590|s6354|s17|s6356",,,"false","interacts with","Abciximab (interacts with) Vitronectin/Integrin aV/_beta_3/SRC/SHC|active","interacts with","Abciximab (interacts with) Vitronectin/Integrin aV/_beta_3/SRC/SHC|active","56807",,"55948",,"INHIBITION"
"103414","pubmed:18983537|pubmed:10620816|drugbank:DB00054|pubmed:17018625",,"58775","sa3044 -I csa398","interacts with","inhibition","re1374","s7578|s8662","Abciximab (interacts with) Vitronectin/Integrin aV/_beta_3/FAK/SRC|active",,"-1.0","s6273","re1374","s3853|s6376|s6377|s6375|s4671|s2593|s2590",,,"false","interacts with","Abciximab (interacts with) Vitronectin/Integrin aV/_beta_3/FAK/SRC|active","interacts with","Abciximab (interacts with) Vitronectin/Integrin aV/_beta_3/FAK/SRC|active","56807",,"56414",,"INHIBITION"
"103415","pubmed:16493410|drugbank:DB00054",,"58774","sa3044 -I csa408","interacts with","inhibition","re1389","s7578","Abciximab (interacts with) Integrin aV/_beta_3/PINCH/parvin/ILK",,"-1.0","s9047","re1389","s2593|s6455|s2590",,,"false","interacts with","Abciximab (interacts with) Integrin aV/_beta_3/PINCH/parvin/ILK","interacts with","Abciximab (interacts with) Integrin aV/_beta_3/PINCH/parvin/ILK","56807",,"55784",,"INHIBITION"
"103416","pubmed:20414202|pubmed:12094235|pubmed:19665589|pubmed:12789288",,"58773","sa3345 -I sa243","interacts with","inhibition","re144","s372|s2128|s10281","mut_PTEN (interacts with) PtdIns(4,5)P2",,"-1.0","s364","re144","s365",,,"false","interacts with","mut_PTEN (interacts with) PtdIns(4,5)P2","interacts with","mut_PTEN (interacts with) PtdIns(4,5)P2","56806",,"55507",,"INHIBITION"
"103417","pubmed:12655295",,"58772","csa251 -D csa448","interacts with","interaction","re754","","p50/p65 (interacts with)   p50/p65  ",,"0.0","s2804","re754","s2798",,,"false","interacts with","p50/p65 (interacts with)   p50/p65  ","interacts with","p50/p65 (interacts with)   p50/p65  ","56805",,"56485",,"TRANSPORT"
"103418","",,"58771","sa2787 -D sa2788","interacts with","interaction","re1325",""," TGF_beta_  (interacts with)   TGF_beta_  ",,"0.0","s6059","re1325","s6058",,,"false","interacts with"," TGF_beta_  (interacts with)   TGF_beta_  ","interacts with"," TGF_beta_  (interacts with)   TGF_beta_  ","56804",,"56174",,"TRANSPORT"
"103419","",,"58770","sa3047 -D sa3048","interacts with","interaction","re1452",""," Caspase 3  (interacts with)   Caspase 3  ",,"0.0","s7582","re1452","s7581",,,"false","interacts with"," Caspase 3  (interacts with)   Caspase 3  ","interacts with"," Caspase 3  (interacts with)   Caspase 3  ","56803",,"56203",,"TRANSPORT"
"103420","",,"58769","sa2465 -D sa2466","interacts with","interaction","re1150","","  PDGFRA   (interacts with)    PDGFRA   ",,"0.0","s4667","re1150","s4666",,,"false","interacts with","  PDGFRA   (interacts with)    PDGFRA   ","interacts with","  PDGFRA   (interacts with)    PDGFRA   ","56802",,"55442",,"TRANSLATION"
"103421","pubmed:25111671",,"58768","sa1798 -D sa2749","interacts with","interaction","re1302","","   TYRP1    (interacts with)     TYRP1    ",,"0.0","s5764","re1302","s2962",,,"false","interacts with","   TYRP1    (interacts with)     TYRP1    ","interacts with","   TYRP1    (interacts with)     TYRP1    ","56801",,"55457",,"TRANSPORT"
"103422","pubmed:22473468",,"58767","sa278 -D sa279","interacts with","interaction","re158","s986","S6K7/RPS6K (interacts with) S6K7/RPS6K|_pho|active",,"0.0","s412","re158","s411",,,"false","interacts with","S6K7/RPS6K (interacts with) S6K7/RPS6K|_pho|active","interacts with","S6K7/RPS6K (interacts with) S6K7/RPS6K|_pho|active","56800",,"56740",,"STATE_TRANSITION"
